Vardas              Pavarde             Galutinis (Vid.)
Vardas541           Pavarde541          5.00
Vardas617           Pavarde617          5.00
Vardas790           Pavarde790          5.00
Vardas35            Pavarde35           5.00
Vardas69            Pavarde69           5.04
Vardas649           Pavarde649          5.04
Vardas52            Pavarde52           5.04
Vardas125           Pavarde125          5.04
Vardas674           Pavarde674          5.04
Vardas727           Pavarde727          5.04
Vardas436           Pavarde436          5.04
Vardas943           Pavarde943          5.04
Vardas930           Pavarde930          5.04
Vardas342           Pavarde342          5.08
Vardas324           Pavarde324          5.08
Vardas616           Pavarde616          5.08
Vardas614           Pavarde614          5.08
Vardas122           Pavarde122          5.08
Vardas722           Pavarde722          5.08
Vardas369           Pavarde369          5.08
Vardas345           Pavarde345          5.08
Vardas120           Pavarde120          5.12
Vardas818           Pavarde818          5.12
Vardas245           Pavarde245          5.12
Vardas157           Pavarde157          5.12
Vardas311           Pavarde311          5.12
Vardas129           Pavarde129          5.12
Vardas187           Pavarde187          5.12
Vardas330           Pavarde330          5.12
Vardas815           Pavarde815          5.16
Vardas490           Pavarde490          5.16
Vardas572           Pavarde572          5.16
Vardas277           Pavarde277          5.16
Vardas156           Pavarde156          5.16
Vardas70            Pavarde70           5.16
Vardas975           Pavarde975          5.16
Vardas750           Pavarde750          5.16
Vardas292           Pavarde292          5.16
Vardas920           Pavarde920          5.16
Vardas212           Pavarde212          5.16
Vardas152           Pavarde152          5.16
Vardas812           Pavarde812          5.16
Vardas169           Pavarde169          5.16
Vardas524           Pavarde524          5.16
Vardas361           Pavarde361          5.20
Vardas180           Pavarde180          5.20
Vardas693           Pavarde693          5.20
Vardas446           Pavarde446          5.20
Vardas598           Pavarde598          5.20
Vardas312           Pavarde312          5.20
Vardas117           Pavarde117          5.20
Vardas715           Pavarde715          5.24
Vardas656           Pavarde656          5.24
Vardas736           Pavarde736          5.24
Vardas280           Pavarde280          5.28
Vardas314           Pavarde314          5.28
Vardas712           Pavarde712          5.28
Vardas338           Pavarde338          5.28
Vardas806           Pavarde806          5.32
Vardas560           Pavarde560          5.32
Vardas685           Pavarde685          5.32
Vardas136           Pavarde136          5.32
Vardas370           Pavarde370          5.32
Vardas752           Pavarde752          5.32
Vardas489           Pavarde489          5.36
Vardas329           Pavarde329          5.36
Vardas797           Pavarde797          5.36
Vardas730           Pavarde730          5.36
Vardas780           Pavarde780          5.36
Vardas631           Pavarde631          5.36
Vardas134           Pavarde134          5.36
Vardas828           Pavarde828          5.36
Vardas711           Pavarde711          5.40
Vardas707           Pavarde707          5.40
Vardas149           Pavarde149          5.40
Vardas291           Pavarde291          5.40
Vardas227           Pavarde227          5.40
Vardas210           Pavarde210          5.40
Vardas498           Pavarde498          5.40
Vardas662           Pavarde662          5.40
Vardas58            Pavarde58           5.40
Vardas502           Pavarde502          5.40
Vardas826           Pavarde826          5.40
Vardas999           Pavarde999          5.44
Vardas508           Pavarde508          5.44
Vardas259           Pavarde259          5.44
Vardas588           Pavarde588          5.44
Vardas383           Pavarde383          5.44
Vardas310           Pavarde310          5.48
Vardas923           Pavarde923          5.48
Vardas264           Pavarde264          5.48
Vardas295           Pavarde295          5.52
Vardas289           Pavarde289          5.52
Vardas190           Pavarde190          5.52
Vardas865           Pavarde865          5.52
Vardas872           Pavarde872          5.52
Vardas996           Pavarde996          5.52
Vardas391           Pavarde391          5.52
Vardas3             Pavarde3            5.52
Vardas758           Pavarde758          5.52
Vardas451           Pavarde451          5.56
Vardas380           Pavarde380          5.56
Vardas985           Pavarde985          5.56
Vardas728           Pavarde728          5.56
Vardas339           Pavarde339          5.56
Vardas967           Pavarde967          5.56
Vardas173           Pavarde173          5.56
Vardas470           Pavarde470          5.56
