Vardas              Pavarde             Galutinis (Vid.)
Vardas702935        Pavarde702935       1.00
Vardas265579        Pavarde265579       1.08
Vardas986735        Pavarde986735       1.08
Vardas29632         Pavarde29632        1.16
Vardas604544        Pavarde604544       1.16
Vardas497650        Pavarde497650       1.16
Vardas804986        Pavarde804986       1.16
Vardas665315        Pavarde665315       1.16
Vardas316368        Pavarde316368       1.16
Vardas360825        Pavarde360825       1.16
Vardas48577         Pavarde48577        1.16
Vardas528003        Pavarde528003       1.16
Vardas495260        Pavarde495260       1.16
Vardas794426        Pavarde794426       1.16
Vardas792595        Pavarde792595       1.16
Vardas585104        Pavarde585104       1.24
Vardas943036        Pavarde943036       1.24
Vardas985646        Pavarde985646       1.24
Vardas652025        Pavarde652025       1.24
Vardas3859          Pavarde3859         1.24
Vardas27868         Pavarde27868        1.24
Vardas129040        Pavarde129040       1.24
Vardas342031        Pavarde342031       1.24
Vardas854391        Pavarde854391       1.24
Vardas295372        Pavarde295372       1.24
Vardas388917        Pavarde388917       1.24
Vardas215919        Pavarde215919       1.24
Vardas620726        Pavarde620726       1.24
Vardas733896        Pavarde733896       1.24
Vardas229968        Pavarde229968       1.24
Vardas92271         Pavarde92271        1.24
Vardas384328        Pavarde384328       1.24
Vardas997889        Pavarde997889       1.24
Vardas418559        Pavarde418559       1.24
Vardas388053        Pavarde388053       1.24
Vardas558386        Pavarde558386       1.24
Vardas324667        Pavarde324667       1.24
Vardas893284        Pavarde893284       1.24
Vardas765922        Pavarde765922       1.24
Vardas384585        Pavarde384585       1.24
Vardas428522        Pavarde428522       1.24
Vardas237669        Pavarde237669       1.24
Vardas946007        Pavarde946007       1.24
Vardas76415         Pavarde76415        1.24
Vardas233026        Pavarde233026       1.24
Vardas410085        Pavarde410085       1.24
Vardas219958        Pavarde219958       1.24
Vardas409957        Pavarde409957       1.24
Vardas275336        Pavarde275336       1.24
Vardas589306        Pavarde589306       1.24
Vardas318067        Pavarde318067       1.24
Vardas523088        Pavarde523088       1.24
Vardas590152        Pavarde590152       1.24
Vardas930588        Pavarde930588       1.32
Vardas578681        Pavarde578681       1.32
Vardas652929        Pavarde652929       1.32
Vardas380777        Pavarde380777       1.32
Vardas279448        Pavarde279448       1.32
Vardas964525        Pavarde964525       1.32
Vardas444202        Pavarde444202       1.32
Vardas277374        Pavarde277374       1.32
Vardas401720        Pavarde401720       1.32
Vardas873000        Pavarde873000       1.32
Vardas806912        Pavarde806912       1.32
Vardas802567        Pavarde802567       1.32
Vardas362626        Pavarde362626       1.32
Vardas927299        Pavarde927299       1.32
Vardas341131        Pavarde341131       1.32
Vardas626280        Pavarde626280       1.32
Vardas285108        Pavarde285108       1.32
Vardas343875        Pavarde343875       1.32
Vardas486150        Pavarde486150       1.32
Vardas717655        Pavarde717655       1.32
Vardas96833         Pavarde96833        1.32
Vardas487943        Pavarde487943       1.32
Vardas553892        Pavarde553892       1.32
Vardas270863        Pavarde270863       1.32
Vardas282040        Pavarde282040       1.32
Vardas156853        Pavarde156853       1.32
Vardas854428        Pavarde854428       1.32
Vardas422778        Pavarde422778       1.32
Vardas765284        Pavarde765284       1.32
Vardas109040        Pavarde109040       1.32
Vardas768601        Pavarde768601       1.32
Vardas960662        Pavarde960662       1.32
Vardas819917        Pavarde819917       1.32
Vardas168655        Pavarde168655       1.32
Vardas750529        Pavarde750529       1.32
Vardas708077        Pavarde708077       1.32
Vardas368172        Pavarde368172       1.32
Vardas726876        Pavarde726876       1.32
Vardas941658        Pavarde941658       1.32
Vardas678618        Pavarde678618       1.32
Vardas715294        Pavarde715294       1.32
Vardas931196        Pavarde931196       1.32
Vardas830030        Pavarde830030       1.32
Vardas783509        Pavarde783509       1.32
Vardas670682        Pavarde670682       1.32
Vardas793790        Pavarde793790       1.32
Vardas664419        Pavarde664419       1.32
Vardas879419        Pavarde879419       1.32
Vardas748045        Pavarde748045       1.32
Vardas385570        Pavarde385570       1.32
Vardas465870        Pavarde465870       1.32
Vardas489776        Pavarde489776       1.32
Vardas954984        Pavarde954984       1.32
Vardas948648        Pavarde948648       1.32
Vardas865303        Pavarde865303       1.32
Vardas671353        Pavarde671353       1.32
Vardas238073        Pavarde238073       1.32
Vardas735137        Pavarde735137       1.32
Vardas332888        Pavarde332888       1.32
Vardas985996        Pavarde985996       1.32
Vardas508206        Pavarde508206       1.32
Vardas636126        Pavarde636126       1.32
Vardas572031        Pavarde572031       1.32
Vardas549911        Pavarde549911       1.32
Vardas898055        Pavarde898055       1.32
Vardas874259        Pavarde874259       1.32
Vardas541460        Pavarde541460       1.40
Vardas863634        Pavarde863634       1.40
Vardas738930        Pavarde738930       1.40
Vardas126240        Pavarde126240       1.40
Vardas323466        Pavarde323466       1.40
Vardas380403        Pavarde380403       1.40
Vardas937465        Pavarde937465       1.40
Vardas444428        Pavarde444428       1.40
Vardas424502        Pavarde424502       1.40
Vardas806835        Pavarde806835       1.40
Vardas10387         Pavarde10387        1.40
Vardas596088        Pavarde596088       1.40
Vardas227405        Pavarde227405       1.40
Vardas505551        Pavarde505551       1.40
Vardas58026         Pavarde58026        1.40
Vardas775818        Pavarde775818       1.40
Vardas727705        Pavarde727705       1.40
Vardas595219        Pavarde595219       1.40
Vardas842556        Pavarde842556       1.40
Vardas551545        Pavarde551545       1.40
Vardas743163        Pavarde743163       1.40
Vardas159328        Pavarde159328       1.40
Vardas302750        Pavarde302750       1.40
Vardas694521        Pavarde694521       1.40
Vardas409273        Pavarde409273       1.40
Vardas575675        Pavarde575675       1.40
Vardas751064        Pavarde751064       1.40
Vardas789447        Pavarde789447       1.40
Vardas441257        Pavarde441257       1.40
Vardas980325        Pavarde980325       1.40
